# Inform Sue when adding setupset or runtime directives
Batch/Template Directives,,,,,,,,
Directives for Batch Processing and Template Files,,,,,,,,
Directive,Definition,Type,Batch,Tmplt,eTomo,Notes,Label,Choices
,,,,,,,,
Arguments to copytomocoms,,,,,,,,
setupset.copyarg.name,Root name of data set,String,Y,,,,,
setupset.copyarg.dual,Dual-axis data set,Bool,Y,Y,SO,,Dual axis,
setupset.copyarg.montage,Data are montaged,Bool,Y,Y,SD,,Montaged,
setupset.copyarg.pixel,Pixel size of images in nanometers,Float,Y,Y,,Overrides value from scanHeader,Pixel size (nm),
setupset.copyarg.gold,Size of gold beads in nanometers,Float,Y,Y,SD,,Fiducial size (nm),
setupset.copyarg.rotation,Angle from the vertical to the tilt axis in raw images,Float,Y,Y,,Overrides value from scanHeader,Tilt axis rotation angle,
setupset.copyarg.brotation,Angle from the vertical to the tilt axis for B axis,Float,Y,,,Overrides value from scanHeader,,
setupset.copyarg.firstinc,First tilt angle and tilt angle increment,2 Float,Y,,,,First tilt angle & increment,
setupset.copyarg.bfirstinc,First tilt angle and tilt angle increment for B axis,2 Float,Y,,,,,
setupset.copyarg.userawtlt,Take tilt angle from a .rawtlt file for A or only axis,Bool,Y,Y,SO,,Use existing .rawtlt file,
setupset.copyarg.buserawtlt,Take tilt angle from a .rawtlt file for B axis,Bool,Y,Y,SO,,,
setupset.copyarg.extract,Extract tilt angles from data file for A or only axis,Bool,Y,Y,SO,,Extract tilt angles from data file,
setupset.copyarg.bextract,Extract tilt angles from data file for B axis,Bool,Y,Y,SO,,,
setupset.copyarg.twodir,Starting angle of bi-directional series for A or only axis,Float,Y,Y,SO,,Starting angle of bi-directional series,
setupset.copyarg.btwodir,Starting angle of bi-directional series for B axis,Float,Y,Y,SO,,,
setupset.copyarg.skip,List of views to exclude from processing for A or only axis,List,Y,,,,Views to exclude,
setupset.copyarg.bskip,List of views to exclude from processing for B axis,List,Y,,,,,
setupset.copyarg.distort,Correct image distortion with the given .idf file,File,Y,Y,SO,,Image distortion field file,
setupset.copyarg.binning,Binning of raw images,Int,Y,Y,,,Binning of raw images,
setupset.copyarg.gradient,Correct for magnification gradients using the given .mgt file,File,Y,Y,SO,,Magnification gradient file,
setupset.copyarg.focus,Focus was adjusted between frames when acquiring montage,Bool,Y,Y,SO,,Focus was adjusted between frames,
setupset.copyarg.bfocus,Focus was adjusted between montage frames for the B axis,Bool,Y,Y,SO,,,
setupset.copyarg.defocus,Defocus in nanometers,Float,Y,Y,SO,,Defocus (nm),
setupset.copyarg.voltage,Microscope voltage in kV,Int,Y,Y,SO,,Microscope voltage (kV),
setupset.copyarg.Cs,Spherical aberration,Float,Y,Y,SO,,Spherical aberration (mm),
setupset.copyarg.ctfnoise,Configuration file listing noise files for ctfplotter,File,Y,Y,SD,,Noise configuration file,
,,,,,,,,
Other setup parameters,,,,,,,,
setupset.scopeTemplate,Name of scope template file to use,String,Y,,,See notes at end,Scope template file,
setupset.systemTemplate,Name of system template file,String,Y,,,See notes at end,System template file,
setupset.userTemplate,Name of user template file,String,Y,,,See notes at end,User template file,
setupset.scanHeader,Whether to scan image file header,Bool,Y,,,,Scan image file header,
setupset.datasetDirectory,Full path to directory,String,Y,,,,,
,,,,,,,,
Preprocessing,,,,,,,,
runtime.Preprocessing.any.removeXrays,Run ccderaser to remove X rays,Bool,Y,,NE,,Remove X-rays and artifacts,
runtime.Preprocessing.any.archiveOriginal,Run archiveorig and delete original stack,Bool,Y,,NE,,Archive and delete original stack,
comparam.eraser.ccderaser.PeakCriterion,Peak criterion # of SDs,Float,Y,Y,SD,,Peak criterion (# of Sds),
comparam.eraser.ccderaser.DiffCriterion,Difference criterion # of SDs,Float,Y,Y,SD,,Difference criterion (# of Sds),
comparam.eraser.ccderaser.MaximumRadius,Maximum radius of peak area,Float,Y,Y,SD,,Maximum radius,
comparam.eraser.ccderaser.ModelFile,Manual replacement model,File,Y,Y,SO,,Manual replacement model,
